Year,Value,Annualized_Return,Yearly_Volatility,Sharpe_Ratio,Max_drawdown
2000,124,24.4,28.7,0.9,-15
2001,102,-18.2,25.8,-0.7,-30
2002,87,-14.7,28.8,-0.5,-32
2003,109,25.8,16.0,1.6,-10
2004,146,33.9,17.9,1.9,-7
2005,205,40.2,25.6,1.6,-16
2006,242,18.1,24.9,0.7,-16
2007,332,36.9,25.0,1.5,-12
2008,203,-39.0,61.1,-0.6,-56
2009,247,21.7,35.2,0.6,-27
2010,300,21.8,23.4,0.9,-20
2011,309,2.8,31.6,0.1,-29
2012,325,5.2,18.2,0.3,-18
2013,410,26.3,14.3,1.8,-7
2014,375,-8.7,18.4,-0.5,-27
2015,294,-21.5,24.9,-0.9,-28
2016,377,28.0,24.6,1.1,-14
2017,373,-0.9,13.3,-0.1,-18
2018,305,-18.2,22.2,-0.8,-30
2019,341,11.7,19.0,0.6,-18
2020,230,-32.7,60.4,-0.5,-61
2021,352,53.3,29.6,1.8,-18
2022,578,64.3,35.3,1.8,-26
2023,575,-0.6,22.9,0.0,-17
2024,607,5.6,17.9,0.3,-14
