Year,Value,Annualized_Return,Yearly_Volatility,Sharpe_Ratio,Max_drawdown
2000,107,6.7,24.6,0.3,-15
2001,95,-10.5,26.8,-0.4,-32
2002,72,-24.6,28.3,-0.9,-37
2003,95,31.9,17.7,1.8,-16
2004,112,17.8,12.8,1.4,-8
2005,115,2.8,11.8,0.2,-8
2006,130,13.5,12.0,1.1,-12
2007,148,13.5,16.1,0.8,-10
2008,91,-38.7,38.4,-1.0,-49
2009,111,22.0,32.8,0.7,-38
2010,141,27.8,22.1,1.3,-19
2011,140,-1.1,27.3,0.0,-26
2012,161,14.9,15.3,1.0,-12
2013,226,40.6,12.9,3.1,-6
2014,249,10.4,13.7,0.8,-10
2015,239,-4.3,16.1,-0.3,-15
2016,286,20.0,14.7,1.4,-9
2017,355,24.0,9.2,2.6,-4
2018,308,-13.2,19.0,-0.7,-24
2019,398,29.1,15.6,1.9,-9
2020,441,10.9,39.6,0.3,-42
2021,534,21.1,15.7,1.3,-7
2022,504,-5.6,21.9,-0.3,-22
2023,596,18.1,14.8,1.2,-13
2024,699,17.3,13.7,1.3,-8
,,,,,
,,,,,
