Year,Value,Annualized_Return,Yearly_Volatility,Sharpe_Ratio,Max_drawdown
2000,126,25.5,25.1,1.0,-23
2001,113,-9.9,18.8,-0.5,-19
2002,90,-20.1,19.5,-1.0,-28
2003,100,11.2,13.6,0.8,-14
2004,108,7.7,9.9,0.8,-9
2005,111,2.8,9.0,0.3,-5
2006,127,14.4,8.7,1.7,-4
2007,143,12.7,10.9,1.2,-6
2008,122,-15.0,24.2,-0.6,-24
2009,139,14.3,17.3,0.8,-20
2010,159,13.8,12.1,1.1,-9
2011,181,14.1,14.8,0.9,-12
2012,200,10.7,9.4,1.1,-6
2013,253,26.3,11.3,2.3,-7
2014,293,15.7,9.6,1.6,-7
2015,313,6.9,13.8,0.5,-10
2016,328,5.0,11.8,0.4,-9
2017,371,13.0,7.6,1.7,-7
2018,341,-8.1,14.5,-0.6,-16
2019,434,27.4,10.7,2.6,-5
2020,478,10.1,27.8,0.4,-25
2021,561,17.2,11.1,1.6,-6
2022,556,-0.8,17.6,0.0,-16
2023,552,-0.8,11.4,-0.1,-13
2024,619,12.2,9.8,1.2,-6
