Year,Value,Annualized_Return,Yearly_Volatility,Sharpe_Ratio,Max_drawdown
2000,122,22.5,22.9,1.0,-17
2001,106,-13.0,19.2,-0.7,-18
2002,76,-28.8,32.3,-0.9,-45
2003,96,26.6,16.6,1.6,-18
2004,119,23.6,11.9,2.0,-9
2005,138,16.3,14.5,1.1,-12
2006,167,20.9,11.4,1.8,-8
2007,198,18.4,17.4,1.1,-12
2008,140,-28.9,37.0,-0.8,-40
2009,157,11.7,20.3,0.6,-25
2010,165,5.3,15.1,0.4,-9
2011,198,19.6,16.6,1.2,-11
2012,200,1.0,9.6,0.1,-10
2013,226,13.0,12.3,1.1,-12
2014,291,28.7,13.5,2.1,-9
2015,276,-4.9,17.1,-0.3,-16
2016,321,16.1,15.8,1.0,-12
2017,360,12.1,9.8,1.2,-7
2018,374,3.9,15.1,0.3,-10
2019,471,25.9,11.4,2.3,-5
2020,473,0.5,38.5,0.0,-36
2021,557,17.7,15.0,1.2,-9
2022,565,1.5,21.3,0.1,-21
2023,524,-7.2,17.7,-0.4,-20
2024,646,23.3,15.5,1.5,-10
