Year,Value,Annualized_Return,Yearly_Volatility,Sharpe_Ratio,Max_drawdown
2000,88,-11.8,26.3,-0.4,-20
2001,87,-0.9,25.1,0.0,-28
2002,87,-0.7,25.8,0.0,-27
2003,100,14.9,16.4,0.9,-11
2004,101,1.3,12.8,0.1,-15
2005,108,6.4,10.5,0.6,-8
2006,115,7.0,10.0,0.7,-10
2007,123,7.2,12.2,0.6,-8
2008,95,-23.3,29.7,-0.8,-34
2009,113,19.6,20.1,1.0,-20
2010,117,3.3,14.9,0.2,-15
2011,131,12.4,19.7,0.6,-17
2012,154,17.4,10.9,1.6,-7
2013,218,41.4,12.2,3.4,-5
2014,273,25.1,14.4,1.7,-8
2015,291,6.8,18.3,0.4,-16
2016,283,-2.8,15.3,-0.2,-12
2017,345,21.8,8.7,2.5,-4
2018,367,6.3,17.5,0.4,-15
2019,442,20.5,13.3,1.5,-7
2020,500,13.3,30.4,0.4,-28
2021,631,26.0,11.8,2.2,-8
2022,618,-2.1,19.0,-0.1,-16
2023,630,2.1,11.5,0.2,-9
2024,646,2.5,10.9,0.2,-13
