Year,Value,Annualized_Return,Yearly_Volatility,Sharpe_Ratio,Max_drawdown
2000,83,-16.9,32.0,-0.5,-29
2001,94,12.7,29.2,0.4,-28
2002,76,-18.6,28.9,-0.6,-30
2003,105,37.2,20.6,1.8,-14
2004,118,12.9,13.0,1.0,-11
2005,110,-6.6,13.1,-0.5,-12
2006,131,18.4,11.8,1.6,-10
2007,113,-13.7,17.4,-0.8,-19
2008,76,-33.0,43.8,-0.8,-51
2009,106,40.6,31.4,1.3,-30
2010,135,27.5,20.6,1.3,-19
2011,144,6.0,24.1,0.2,-18
2012,177,23.6,14.0,1.7,-10
2013,253,42.7,12.6,3.4,-5
2014,277,9.4,13.2,0.7,-8
2015,305,9.9,16.4,0.6,-11
2016,323,6.0,14.5,0.4,-12
2017,396,22.8,8.1,2.8,-4
2018,403,1.6,19.3,0.1,-21
2019,517,28.4,14.1,2.0,-9
2020,670,29.6,33.7,0.9,-34
2021,857,27.9,18.1,1.5,-10
2022,546,-36.3,34.3,-1.1,-39
2023,763,39.6,20.0,2.0,-16
2024,965,26.5,18.6,1.4,-13
